id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-493540,2025-04-28,000001,Vente,60000,34,,QUAI HENRI IV,4586,75004,75104,Paris 4e Arrondissement,75,,,75104000AT0006,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.362392,48.849272
2025-493550,2025-04-28,000001,Vente,9000,16,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0100,,,48,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354848,48.852203
2025-493551,2025-05-12,000001,Vente,220000,35,,BD HENRI IV,4583,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0013,,,17,20.92,,,,,,,,,1,3,Dépendance,,0,,,,,,2.365529,48.852434
2025-493633,2025-05-15,000001,Vente,636760,11,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0015,,,58,62.66,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,2.363487,48.853072
2025-493633,2025-05-15,000001,Vente,636760,11,,RUE BEAUTREILLIS,0797,75004,75104,Paris 4e Arrondissement,75,,,75104000AQ0015,,,58,62.66,,,,,,,,,1,2,Appartement,43,1,,,,,,2.363487,48.853072
2025-493652,2025-04-29,000001,Vente,560000,61,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0155,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363726,48.854034
2025-493652,2025-04-29,000001,Vente,560000,61,,RUE SAINT ANTOINE,8490,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0155,,,47,39.1,,,,,,,,,1,2,Appartement,38,3,,,,,,2.363726,48.854034
2025-493673,2025-05-16,000001,Vente,445000,89,,RUE SAINT MARTIN,8694,75004,75104,Paris 4e Arrondissement,75,,,75104000AC0098,,,19,29.52,,,,,,,,,1,2,Appartement,32,1,,,,,,2.350507,48.859803
2025-493691,2025-05-19,000001,Vente,620000,39,,RUE SAINTE CROIX BRETONNERIE,8548,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0025,,,205,60.79,260,,,,,,,,2,3,Dépendance,,0,,,,,,2.353994,48.858505
2025-493691,2025-05-19,000001,Vente,620000,39,,RUE SAINTE CROIX BRETONNERIE,8548,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0025,,,205,60.79,260,,,,,,,,2,2,Appartement,62,3,,,,,,2.353994,48.858505
2025-493692,2025-05-06,000001,Vente,1127920,4,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0003,,,14,70.78,73,,75,,76,,,,4,3,Dépendance,,0,,,,,,2.361476,48.855438
2025-493692,2025-05-06,000001,Vente,1127920,4,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0003,,,14,70.78,73,,75,,76,,,,4,2,Appartement,80,4,,,,,,2.361476,48.855438
