Annee_financement,Arrondissement,Nb_logements_sociaux,percent_logement_sociaux_finances
2019,1,10,0.17473353136466888
2019,6,19,0.3319937095928709
2019,4,13,0.22715359077406955
2019,8,1,0.017473353136466887
2020,18,135,4.642365887207703
2020,12,215,7.393397524071527
2020,7,15,0.515818431911967
2020,15,263,9.044016506189822
2020,3,40,1.375515818431912
2020,17,552,18.982118294360387
2020,20,147,5.055020632737277
2020,9,68,2.33837689133425
2020,10,88,3.0261348005502064
2020,16,104,3.576341127922971
2020,5,592,20.357634112792297
2020,13,47,1.6162310866574965
2020,11,292,10.041265474552958
2020,14,154,5.295735900962861
2020,19,107,3.6795048143053646
2020,2,4,0.1375515818431912
2020,1,1,0.0343878954607978
2020,6,0,0.0
2020,4,83,2.854195323246217
2020,8,1,0.0343878954607978
2021,18,989,22.66269477543538
2021,12,586,13.428047662694775
2021,7,10,0.229147571035747
2021,15,268,6.14115490375802
2021,3,38,0.8707607699358387
2021,17,332,7.607699358386801
2021,20,988,22.639780018331805
2021,9,18,0.41246562786434465
2021,10,53,1.2144821264894592
2021,16,0,0.0
2021,5,54,1.237396883593034
2021,13,205,4.697525206232814
2021,11,157,3.5976168652612284
2021,14,370,8.47846012832264
2021,19,139,3.1851512373968838
2021,2,62,1.4207149404216315
2021,1,12,0.27497708524289644
2021,6,0,0.0
2021,4,48,1.0999083409715857
2021,8,35,0.8020164986251146
2022,18,767,22.73940112659354
2022,12,282,8.360509931811444
2022,7,0,0.0
2022,15,586,17.37325822709754
2022,3,21,0.6225911651348948
2022,17,80,2.3717758671805513
2022,20,430,12.748295286095464
2022,9,0,0.0
2022,10,81,2.401423065520308
2022,16,10,0.2964719833975689
2022,5,93,2.757189445597391
2022,13,309,9.16098428698488
2022,11,283,8.3901571301512
2022,14,90,2.6682478505781204
2022,19,148,4.38778535428402
2022,2,48,1.423065520308331
2022,1,16,0.4743551734361103
2022,6,63,1.8677734954046843
2022,4,54,1.6009487103468723
2022,8,12,0.3557663800770827
2023,18,620,20.42833607907743
2023,12,370,12.191103789126853
2023,7,0,0.0
2023,15,246,8.105436573311367
2023,3,30,0.9884678747940692
2023,17,48,1.5815485996705108
2023,20,293,9.654036243822075
2023,9,16,0.5271828665568369
2023,10,203,6.688632619439868
2023,16,81,2.668863261943987
2023,5,30,0.9884678747940692
2023,13,190,6.260296540362439
2023,11,234,7.710049423393739
2023,14,183,6.029654036243822
2023,19,298,9.818780889621088
